x_timestamp,open,high,low,close,volume,amount
2026-01-14,691.0,691.72,686.04,690.36,94676684.0,65360995566.24
2026-01-15,694.57,695.45,691.25,692.24,77861974.0,53899172881.76
2026-01-16,693.66,694.25,690.1,691.66,79289200.0,54841168072.0
2026-01-20,681.49,684.77,676.57,677.58,111623277.0,75633700029.66
2026-01-21,679.65,688.735,678.13,685.4,127844467.0,87624597681.8
2026-01-22,689.85,691.125,686.92,688.98,77112243.0,53128793182.14
2026-01-23,688.15,690.96,687.16,689.23,63059578.0,43462552944.94
2026-01-26,690.49,694.13,689.92,692.73,60473813.0,41892024479.49
2026-01-27,694.18,696.53,693.57,695.49,55506147.0,38603970177.03
2026-01-28,697.05,697.84,693.94,695.42,61172165.0,42540346984.299995
2026-01-29,696.39,697.06,684.83,694.04,97486198.0,67659320859.92
2026-01-30,691.79,694.21,687.12,691.97,101835131.0,70466855598.07
2026-02-02,689.58,696.93,689.425,695.41,79286458.0,55136595757.78
2026-02-03,696.21,696.96,684.03,689.53,107904611.0,74403466422.83
2026-02-04,690.35,691.45,681.76,686.19,105204600.0,72190344474.0
2026-02-05,680.94,683.69,675.79,677.62,113610812.0,76984958427.44
2026-02-06,681.46,692.31,680.85,690.62,89127566.0,61553279630.92
2026-02-09,689.42,695.87,688.34,693.95,73885192.0,51272628988.4
2026-02-10,694.95,696.54,691.66,692.12,65185725.0,45116343987.0
2026-02-11,696.39,697.14,689.18,691.96,76353872.0,52833825269.12
2026-02-12,694.24,695.35,680.37,681.27,118828963.0,80954607623.01
2026-02-13,681.69,686.28,677.52,681.75,96267487.0,65630359262.25
2026-02-17,680.14,684.94,675.78,682.85,81354660.0,55553029581.0
2026-02-18,684.02,689.15,682.83,686.29,73570341.0,50490589324.89
2026-02-19,683.84,686.18,681.5475,684.48,58649363.0,40144315986.24
2026-02-20,682.32,690.06,681.73,689.43,100033986.0,68966430967.98
2026-02-23,687.83,690.0,680.371,682.39,90558087.165861,61795933101.111885
2026-02-24,681.9,688.35,680.0,687.35,73798727.15384,50725555109.19193
2026-02-25,690.18,693.68,690.1,693.15,56369479.067997,39072504415.98212
2026-02-26,693.28,693.3,684.35,689.3,71670990.008025,49402813412.53163
2026-02-27,683.09,686.86,681.64,685.99,83308868.984515,57149051034.68745
2026-03-02,678.7,688.62,678.02,686.38,87477198.69359,60042599639.306305
2026-03-03,675.06,682.61,669.66,680.33,105003113.374148,71436768121.8341
2026-03-04,681.63,687.09,679.62,685.13,79182244.545392,54250131205.38442
2026-03-05,682.08,685.53,675.61,681.31,106606464.921614,72632050615.74483
2026-03-06,673.41,676.11,669.76,672.38,100686951.457708,67699892421.133705
2026-03-09,666.39,679.92,662.39,678.27,102667711.038582,69636428366.139
2026-03-10,677.72,683.36,674.76,677.18,81505315.849502,55193769786.96576
2026-03-11,677.58,680.08,673.34,676.33,68441672.317886,46289156238.75584
2026-03-12,671.16,671.65,665.87,666.06,108882246.682898,72522109225.61104
2026-03-13,669.27,672.335,661.36,662.29,97200242.450889,64374748572.79928
2026-03-16,668.38,672.07,667.12,669.03,82023130.110765,54875934738.005104
2026-03-17,672.39,674.44,669.7,670.79,87128044.932692,58444621260.40047
2026-03-18,668.36,669.72,661.19,661.43,82062576.584433,54278650030.241516
2026-03-19,656.97,662.98,655.17,659.8,111272539.22716,73417621382.08017
2026-03-20,656.51,656.69,644.72,648.57,163617522.898786,106117416826.46565
2026-03-23,658.07,662.615,653.94,655.38,134802732.497249,88347014824.04706
2026-03-24,651.32,657.03,649.88,653.18,96457478.294394,63004095672.33227
2026-03-25,658.67,660.89,654.24,656.82,90653787.437476,59543220664.68298
2026-03-26,652.06,654.85,644.82,645.09,96494375.141859,62247556460.261826
2026-03-27,642.5,642.66,633.105,634.09,103649368.514115,65723028081.11519
2026-03-30,640.11,640.37,629.28,631.97,99275851.398325,62739359808.19945
2026-03-31,638.94,651.54,637.98,650.34,152534102.839604,99199028440.70807
2026-04-01,653.9,658.52,653.0,655.24,97841472.332028,64109646330.83803
2026-04-02,646.42,658.2,645.11,655.83,68358713.798754,44831695270.63684
2026-04-06,655.86,659.72,655.52,658.93,39105758.985233,25767957768.13958
2026-04-07,656.65,659.61,651.06,659.22,69980362.214976,46132454379.356476
2026-04-08,676.39,677.08,671.46,676.01,93606114.539743,63278669490.011665
2026-04-09,674.84,681.16,673.77,679.91,57134445.129013,38846280587.66723
2026-04-10,681.32,682.03,678.45,679.46,42253456.504923,28709533556.834984
2026-04-13,677.41,686.3,676.58,686.1,54185819.713632,37176890905.52292
2026-04-14,687.69,694.58,687.66,694.46,63480529.152439,44084688275.20279
2026-04-15,695.26,700.28,694.2,699.94,58240384.193547,40764774512.43129
2026-04-16,701.06,702.78,698.53,701.66,49972363.544464,35063608604.60861
2026-04-17,706.14,712.39,705.76,710.14,70661926.525697,50179860502.95846
2026-04-20,708.78,709.91,706.14,708.72,43546812.254513,30862496781.018456
2026-04-21,710.28,711.275,702.64,704.08,58941384.897666,41499450278.74868
2026-04-22,709.15,711.45,708.22,711.21,42518498.41785,30239581259.7591
2026-04-23,709.5,712.3598,702.2803,708.45,56173990.995762,39796463920.94759
2026-04-24,710.75,714.47,709.01,713.94,45181957.231292,32257206545.708614
2026-04-27,713.17,715.63,712.295,715.17,33135943.287389,23697832560.841988
2026-04-28,711.815,712.88,709.25,711.69,43117436.90906,30686248673.808914
2026-04-29,711.0,712.2,708.37,711.58,41859227.624982,29786189193.384693
2026-04-30,714.63,719.79,710.445,718.66,67240949.268411,48323380601.236244
